R,G,B
23,19,68
33,17,58
40,16,40
38,21,25
35,25,25
30,22,29
32,17,25
31,19,7
27,30,0
24,42,13
1,20,17
17,24,39
51,43,53
31,17,19
36,17,32
38,21,54
47,28,7
33,26,31
31,31,55
18,21,35
24,30,19
34,42,25
16,24,17
15,19,20
44,39,36
35,32,18
23,23,7
29,26,11
38,29,9
44,33,6
35,36,16
14,30,19
15,24,3
16,25,22
19,24,33
25,17,24
51,32,29
37,21,15
29,17,17
44,29,33
50,24,30
48,24,32
34,20,32
34,32,38
42,40,32
31,23,10
52,47,46
25,25,39
29,10,37
49,37,49
44,41,37
30,31,27
31,33,41
26,26,42
21,25,36
37,43,48
29,34,37
24,25,35
23,23,35
33,34,38
29,32,30
21,23,24
32,27,48
40,32,69
42,39,54
34,29,50
36,27,54
32,20,56
35,22,60
36,25,58
27,16,42
30,23,38
41,38,40
41,40,30
40,42,23
38,40,20
38,40,21
45,43,32
46,41,38
40,34,35
26,2,2
49,32,23
65,56,43
50,44,45
31,30,40
23,29,34
19,34,26
28,43,35
33,43,43
31,37,36
29,35,24
36,37,21
38,29,25
30,13,22
39,18,27
60,42,43
51,43,43
30,40,27
28,44,21
46,45,24
44,33,19
31,35,23
30,50,31
30,39,19
46,28,17
34,16,17
15,25,32
19,40,42
35,31,30
45,20,16
32,23,20
5,27,25
37,39,39
32,37,22
29,35,10
35,37,18
37,34,26
31,28,20
27,26,16
29,27,26
28,23,38
22,21,37
25,30,31
31,42,32
33,41,40
37,40,54
40,39,59
20,21,35
19,38,46
19,43,19
28,53,3
22,42,0
18,35,22
23,39,45
19,35,41
30,36,43
30,20,36
36,17,38
45,28,41
33,29,28
33,38,29
35,41,30
25,26,10
41,38,17
40,42,36
38,27,35
33,15,32
31,18,32
24,23,25
31,36,34
47,39,49
31,10,32
33,9,33
35,21,32
29,24,25
33,26,31
49,31,48
48,27,49
35,27,38
36,41,40
31,45,43
27,32,31
34,28,29
44,31,33
48,37,40
31,28,30
23,22,24
39,36,38
50,39,42
47,32,36
31,20,23
35,30,32
38,35,37
37,28,31
50,28,33
57,24,31
26,36,20
31,50,33
20,38,25
29,34,33
42,29,43
27,18,31
21,26,27
26,34,23
48,46,35
25,20,19
17,19,27
32,39,48
26,25,27
33,24,21
50,45,42
22,25,23
39,15,45
48,44,43
33,44,18
25,36,16
28,36,36
26,38,42
30,42,30
38,33,12
48,26,8
38,25,11
18,31,15
23,48,28
28,36,19
28,20,7
33,38,17
25,52,19
0,20,12
29,39,26
39,40,20
18,15,0
35,29,16
47,36,32
42,23,26
43,23,22
45,38,29
31,40,27
26,37,29
37,31,36
43,19,37
39,17,35
31,30,39
11,34,30
14,21,30
30,33,38
39,37,37
45,41,36
